filename,source,photo_id,city,state,lat,lon,url,title,photographer,downloaded_at,size,hash
wikimedia_Ciudad de México_CDMX_1_1764045645.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/c/cd/Av._de_la_Republica%2C_Mexico_City_2020.jpg,"File:Av. de la Republica, Mexico City 2020.jpg",,2025-11-24T23:40:47.420020,9679508,98fc9c5b3307bc045653c83e0153b9f3
wikimedia_Ciudad de México_CDMX_2_1764045647.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/d/d0/Biblioteca_Vasconcelos%2C_Ciudad_de_M%C3%A9xico%2C_M%C3%A9xico%2C_2015-07-20%2C_DD_13-15_HDR.jpg,"File:Biblioteca Vasconcelos, Ciudad de México, México, 2015-07-20, DD 13-15 HDR.jpg",,2025-11-24T23:40:49.112825,7151533,949f7a73ed2010c698148a0d32c0ee4c
wikimedia_Ciudad de México_CDMX_7_1764045658.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/9/96/Hotel_Plaza_Suites_Mexico_City_2020.jpg,File:Hotel Plaza Suites Mexico City 2020.jpg,,2025-11-24T23:40:59.715470,6498643,4cd372889f0dc5897a98a84aa23a87ef
wikimedia_Ciudad de México_CDMX_8_1764045660.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/5/50/Iglesia_de_San_Hip%C3%B3lito%2C_Ciudad_de_M%C3%A9xico%2C_M%C3%A9xico%2C_2015-07-20%2C_DD_01.jpg,"File:Iglesia de San Hipólito, Ciudad de México, México, 2015-07-20, DD 01.jpg",,2025-11-24T23:41:01.688877,9140475,c5072d98dd831d19f9ee886b0777ce4b
wikimedia_Ciudad de México_CDMX_9_1764045662.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/2/24/Iglesia_de_Santiago_Tlatelolco%2C_M%C3%A9xico_D.F.%2C_M%C3%A9xico%2C_2013-10-16%2C_DD_38.JPG,"File:Iglesia de Santiago Tlatelolco, México D.F., México, 2013-10-16, DD 38.JPG",,2025-11-24T23:41:03.703430,8788131,2f95fbd0185e8bc6db955414b46c0d72
wikimedia_Ciudad de México_CDMX_10_1764045664.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/8/85/Mexico_City_Palacio_de_bellas_artes.jpg,File:Mexico City Palacio de bellas artes.jpg,,2025-11-24T23:41:05.229865,1494759,5be6be5efae109063db221355a9f76b3
wikimedia_Ciudad de México_CDMX_11_1764045665.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/b/b2/Museo_Soumaya%2C_Ciudad_de_M%C3%A9xico%2C_M%C3%A9xico%2C_2015-07-18%2C_DD_12.JPG,"File:Museo Soumaya, Ciudad de México, México, 2015-07-18, DD 12.JPG",,2025-11-24T23:41:08.893517,6197044,073d64a57840dd3b3632de821ba57bd2
wikimedia_Ciudad de México_CDMX_12_1764045669.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/8/81/Palacio_Postal%2C_M%C3%A9xico_D.F.%2C_M%C3%A9xico%2C_2013-10-16%2C_DD_59.JPG,"File:Palacio Postal, México D.F., México, 2013-10-16, DD 59.JPG",,2025-11-24T23:41:10.817777,8100187,df7fe196379a4cc104a60bab3ab39cf2
wikimedia_Ciudad de México_CDMX_13_1764045671.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/9/9e/Palacio_de_Bellas_Artes%2C_M%C3%A9xico_D.F.%2C_M%C3%A9xico%2C_2013-10-13%2C_DD_40.jpg,"File:Palacio de Bellas Artes, México D.F., México, 2013-10-13, DD 40.jpg",,2025-11-24T23:41:12.631130,7818582,0c1d57ab832012e50f66a0fa337fbf58
wikimedia_Ciudad de México_CDMX_14_1764045673.jpg,wikimedia,,Ciudad de México,CDMX,19.432608,-99.133209,https://upload.wikimedia.org/wikipedia/commons/5/5e/Parroquia_de_San_Fernando%2C_Ciudad_de_M%C3%A9xico%2C_M%C3%A9xico%2C_2015-07-20%2C_DD_03.JPG,"File:Parroquia de San Fernando, Ciudad de México, México, 2015-07-20, DD 03.JPG",,2025-11-24T23:41:14.523017,9157042,0f357d0774b6979b69902b0a7b07cfd5
